5,5,5,0.000000,0.000000,0.000000
5,5,10,0.000000,0.000000,0.000000
5,5,15,0.000000,0.000000,0.000000
5,5,20,0.000000,0.000000,0.000000
5,5,25,0.000000,0.000000,0.000000
5,5,30,0.000000,0.000000,0.000000
5,10,5,0.000000,0.000000,0.000000
5,10,10,0.400000,0.000000,1.000000
5,10,15,1.200000,1.000000,2.000000
5,10,20,1.200000,1.000000,2.000000
5,10,25,2.000000,1.000000,3.000000
5,10,30,2.800000,2.000000,4.000000
5,15,5,0.000000,0.000000,0.000000
5,15,10,1.800000,1.000000,3.000000
5,15,15,4.200000,4.000000,5.000000
5,15,20,6.800000,5.000000,8.000000
5,15,25,9.400000,6.000000,13.000000
5,15,30,11.800000,7.000000,14.000000
5,20,5,1.000000,1.000000,1.000000
5,20,10,5.000000,4.000000,6.000000
5,20,15,10.800000,10.000000,13.000000
5,20,20,18.000000,16.000000,23.000000
5,20,25,25.799999,20.000000,41.000000
5,20,30,32.400002,22.000000,40.000000
5,25,5,1.600000,1.000000,2.000000
5,25,10,8.000000,7.000000,9.000000
5,25,15,20.200001,15.000000,22.000000
5,25,20,37.400002,24.000000,44.000000
5,25,25,55.599998,49.000000,63.000000
5,25,30,67.800003,60.000000,76.000000
5,30,5,2.400000,2.000000,3.000000
5,30,10,14.000000,13.000000,15.000000
5,30,15,32.400002,29.000000,36.000000
5,30,20,60.400002,54.000000,68.000000
5,30,25,88.199997,72.000000,107.000000
5,30,30,127.199997,109.000000,137.000000
10,5,5,0.000000,0.000000,0.000000
10,5,10,0.000000,0.000000,0.000000
10,5,15,0.000000,0.000000,0.000000
10,5,20,0.600000,0.000000,1.000000
10,5,25,0.600000,0.000000,1.000000
10,5,30,1.000000,1.000000,1.000000
10,10,5,0.000000,0.000000,0.000000
10,10,10,2.200000,2.000000,3.000000
10,10,15,5.600000,4.000000,7.000000
10,10,20,9.000000,6.000000,12.000000
10,10,25,9.200000,7.000000,12.000000
10,10,30,13.600000,11.000000,18.000000
10,15,5,1.600000,1.000000,2.000000
10,15,10,8.800000,7.000000,11.000000
10,15,15,18.400000,13.000000,22.000000
10,15,20,27.799999,25.000000,33.000000
10,15,25,49.200001,42.000000,60.000000
10,15,30,53.000000,45.000000,66.000000
10,20,5,4.200000,4.000000,5.000000
10,20,10,21.000000,19.000000,23.000000
10,20,15,45.599998,40.000000,49.000000
10,20,20,84.599998,50.000000,115.000000
10,20,25,114.599998,75.000000,166.000000
10,20,30,179.800003,138.000000,216.000000
10,25,5,10.200000,7.000000,12.000000
10,25,10,42.200001,36.000000,48.000000
10,25,15,100.800003,84.000000,126.000000
10,25,20,184.199997,130.000000,215.000000
10,25,25,301.600006,232.000000,442.000000
10,25,30,473.399994,280.000000,639.000000
10,30,5,14.000000,13.000000,15.000000
10,30,10,68.599998,57.000000,88.000000
10,30,15,179.800003,149.000000,264.000000
10,30,20,279.000000,199.000000,312.000000
10,30,25,459.200012,418.000000,475.000000
10,30,30,561.000000,404.000000,686.000000
15,5,5,0.000000,0.000000,0.000000
15,5,10,0.400000,0.000000,1.000000
15,5,15,0.800000,0.000000,1.000000
15,5,20,0.800000,0.000000,1.000000
15,5,25,2.000000,1.000000,4.000000
15,5,30,2.400000,1.000000,4.000000
15,10,5,1.200000,1.000000,2.000000
15,10,10,5.600000,5.000000,8.000000
15,10,15,13.800000,9.000000,17.000000
15,10,20,17.000000,11.000000,21.000000
15,10,25,27.200001,15.000000,46.000000
15,10,30,26.799999,22.000000,33.000000
15,15,5,4.400000,3.000000,6.000000
15,15,10,23.400000,18.000000,30.000000
15,15,15,45.200001,26.000000,67.000000
15,15,20,63.799999,46.000000,93.000000
15,15,25,83.000000,54.000000,123.000000
15,15,30,126.599998,74.000000,185.000000
15,20,5,10.800000,8.000000,14.000000
15,20,10,49.599998,40.000000,60.000000
15,20,15,106.199997,76.000000,132.000000
15,20,20,201.600006,167.000000,237.000000
15,20,25,263.399994,183.000000,342.000000
15,20,30,326.200012,261.000000,420.000000
15,25,5,18.000000,16.000000,22.000000
15,25,10,93.199997,78.000000,99.000000
15,25,15,227.800003,204.000000,280.000000
15,25,20,430.000000,332.000000,542.000000
15,25,25,530.200012,433.000000,689.000000
15,25,30,817.400024,485.000000,1091.000000
15,30,5,31.799999,29.000000,34.000000
15,30,10,159.800003,139.000000,176.000000
15,30,15,368.799988,347.000000,408.000000
15,30,20,589.000000,486.000000,659.000000
15,30,25,1033.599976,836.000000,1342.000000
15,30,30,1474.800049,1147.000000,1841.000000
20,5,5,0.000000,0.000000,0.000000
20,5,10,0.600000,0.000000,1.000000
20,5,15,1.200000,0.000000,2.000000
20,5,20,1.400000,1.000000,2.000000
20,5,25,2.400000,1.000000,3.000000
20,5,30,2.800000,2.000000,4.000000
20,10,5,1.600000,1.000000,3.000000
20,10,10,6.400000,6.000000,7.000000
